country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability_type,defense_mechanism,resolution_time_hours,years_since_2015,loss_per_user_usd,impact_level
India,2020,DDoS,Telecommunications,18.18,208313,Hacker Group,Weak Passwords,Encryption,5.0,5,87.27251779773705,Low
Japan,2018,Phishing,Retail,2.73,916272,Nation-state,Zero-day,Antivirus,32.0,3,2.9794646131279796,High
France,2015,Phishing,Banking,83.27,288526,Hacker Group,Unpatched Software,Encryption,66.0,0,288.60483977180564,High
Australia,2022,Malware,Government,54.17,892175,Insider,Zero-day,VPN,18.0,7,60.71678762574607,High
France,2021,Ransomware,Retail,76.83,189999,Hacker Group,Social Engineering,VPN,57.0,6,404.3705493186806,High
UK,2023,SQL Injection,Telecommunications,78.9,716114,Insider,Weak Passwords,Firewall,63.0,8,110.17798842083802,High
France,2018,Ransomware,Education,32.5,414904,Nation-state,Unpatched Software,VPN,53.0,3,78.33137304051057,Low
Germany,2019,SQL Injection,Banking,77.65,989592,Insider,Weak Passwords,Antivirus,49.0,4,78.46668121811817,High
Australia,2015,Phishing,Government,60.68,389782,Insider,Social Engineering,Firewall,45.0,0,155.67676290849758,Medium
Germany,2016,Malware,Healthcare,67.85,552427,Hacker Group,Zero-day,Encryption,58.0,1,122.82165788420913,Medium
Russia,2022,Ransomware,Retail,44.25,933418,Nation-state,Zero-day,Antivirus,15.0,7,47.4064138467439,High
India,2016,Man-in-the-Middle,Telecommunications,42.88,934333,Insider,Unpatched Software,Firewall,60.0,1,45.89370171020396,High
Russia,2018,Malware,Telecommunications,65.81,213558,Unattributed,Unpatched Software,Antivirus,37.0,3,308.15984416411465,Medium
Russia,2024,DDoS,Telecommunications,41.37,271388,Nation-state,Unpatched Software,Encryption,36.0,9,152.43857502910961,Low
Brazil,2024,DDoS,Government,88.79,482307,Hacker Group,Zero-day,Firewall,62.0,9,184.09436313385459,High
UK,2020,Man-in-the-Middle,Telecommunications,59.32,848419,Insider,Unpatched Software,VPN,27.0,5,69.91828330105761,High
Brazil,2019,DDoS,Government,54.7,615305,Insider,Zero-day,Antivirus,6.0,4,88.89900130829426,Medium
UK,2021,DDoS,Telecommunications,57.75,829827,Nation-state,Weak Passwords,Antivirus,48.0,6,69.59281874414788,High
China,2022,Man-in-the-Middle,Education,60.55,699194,Nation-state,Social Engineering,Encryption,45.0,7,86.59971338426817,Medium
France,2022,Malware,IT,6.51,82276,Insider,Zero-day,Firewall,26.0,7,79.12392435218047,Low
Russia,2024,Phishing,IT,47.56,234055,Unattributed,Weak Passwords,VPN,64.0,9,203.20010254000127,Low
India,2019,Phishing,IT,52.47,880546,Nation-state,Zero-day,VPN,39.0,4,59.58802833696366,High
China,2020,Phishing,Education,54.76,183678,Insider,Zero-day,AI-based Detection,59.0,5,298.1304238939884,Medium
China,2023,DDoS,Education,42.64,720850,Unattributed,Social Engineering,VPN,17.0,8,59.15238954012624,Medium
Germany,2023,Phishing,Banking,39.53,339645,Unattributed,Weak Passwords,AI-based Detection,2.0,8,116.38622679562485,Low
Japan,2017,DDoS,Telecommunications,73.27,368351,Nation-state,Zero-day,Antivirus,48.0,2,198.91353627382577,Medium
Australia,2024,DDoS,Banking,88.79,810930,Insider,Weak Passwords,AI-based Detection,30.0,9,109.49157140567003,High
France,2019,DDoS,IT,13.99,966010,Unattributed,Weak Passwords,Encryption,20.0,4,14.482251736524466,High
Japan,2015,Man-in-the-Middle,Telecommunications,79.88,104759,Hacker Group,Zero-day,AI-based Detection,12.0,0,762.512051470518,High
France,2017,Phishing,Banking,77.41,654122,Nation-state,Social Engineering,AI-based Detection,68.0,2,118.34183837265832,High
India,2020,SQL Injection,Telecommunications,87.44,731625,Nation-state,Zero-day,Antivirus,33.0,5,119.51477874594225,High
France,2020,Ransomware,Education,47.32,848222,Insider,Unpatched Software,VPN,16.0,5,55.78728210303435,High
India,2017,Man-in-the-Middle,Telecommunications,32.4,437554,Insider,Weak Passwords,Firewall,19.0,2,74.04800321788854,Low
India,2023,Phishing,Retail,53.07,589348,Hacker Group,Social Engineering,Antivirus,4.0,8,90.04866394727733,Medium
Brazil,2024,Ransomware,Retail,68.95,322146,Hacker Group,Social Engineering,Encryption,70.0,9,214.03338858778318,Medium
India,2020,SQL Injection,Government,42.81,432917,Hacker Group,Unpatched Software,AI-based Detection,53.0,5,98.88731558243266,Low
UK,2022,DDoS,IT,53.91,64163,Unattributed,Weak Passwords,AI-based Detection,7.0,7,840.2038558047473,Medium
France,2021,Phishing,Retail,45.67,95873,Unattributed,Unpatched Software,Antivirus,50.0,6,476.35935039062093,Low
Germany,2020,SQL Injection,Healthcare,62.61,205015,Nation-state,Unpatched Software,AI-based Detection,57.0,5,305.3922883691437,Medium
Germany,2020,SQL Injection,Telecommunications,27.52,488501,Nation-state,Social Engineering,Encryption,47.0,5,56.33560627306802,Low
USA,2020,Ransomware,Retail,16.33,850758,Insider,Unpatched Software,Firewall,9.0,5,19.19464759661384,High
Brazil,2019,SQL Injection,Healthcare,67.42,703282,Insider,Weak Passwords,Encryption,2.0,4,95.86481667382358,Medium
Germany,2015,SQL Injection,Government,87.71,1579,Unattributed,Unpatched Software,Antivirus,55.0,0,55547.815072830905,High
Germany,2023,DDoS,IT,93.72,828721,Insider,Weak Passwords,Encryption,21.0,8,113.08993014536858,High
Germany,2017,Malware,Government,67.79,239402,Hacker Group,Zero-day,VPN,17.0,2,283.16388334266213,Medium
Russia,2024,DDoS,Education,54.4,891298,Insider,Social Engineering,AI-based Detection,60.0,9,61.03458102677219,High
Australia,2024,Man-in-the-Middle,Education,86.52,915463,Insider,Weak Passwords,Antivirus,2.0,9,94.509554181873,High
India,2018,Malware,Education,99.09,395264,Unattributed,Weak Passwords,Antivirus,5.0,3,250.69320757772022,High
China,2015,Man-in-the-Middle,Healthcare,66.13,946668,Hacker Group,Unpatched Software,Encryption,67.0,0,69.85553541473884,High
USA,2023,Malware,IT,52.54,201017,Insider,Unpatched Software,Encryption,17.0,8,261.37092882691513,Medium
Germany,2022,SQL Injection,IT,48.0,876383,Insider,Zero-day,Encryption,72.0,7,54.770574052668756,High
Australia,2022,Ransomware,Government,10.84,564944,Insider,Social Engineering,Antivirus,58.0,7,19.187742501911693,Medium
Russia,2023,Malware,IT,6.35,259573,Nation-state,Zero-day,Firewall,68.0,8,24.46325311184137,Low
Japan,2020,DDoS,Education,99.83,10859,Nation-state,Social Engineering,AI-based Detection,66.0,5,9193.295883598857,High
Russia,2020,DDoS,Government,41.45,496378,Insider,Unpatched Software,AI-based Detection,42.0,5,83.50490956488805,Medium
UK,2019,Man-in-the-Middle,Education,29.92,937987,Hacker Group,Weak Passwords,VPN,45.0,4,31.89809666871716,High
India,2023,Ransomware,Education,9.32,182887,Hacker Group,Unpatched Software,Firewall,51.0,8,50.96042911743317,Low
France,2017,Man-in-the-Middle,Healthcare,34.43,927694,Insider,Social Engineering,VPN,43.0,2,37.113530970341515,High
Brazil,2021,Man-in-the-Middle,Banking,81.68,893986,Insider,Unpatched Software,Firewall,47.0,6,91.36608403263585,High
USA,2018,Phishing,Retail,36.85,852789,Hacker Group,Social Engineering,VPN,4.0,3,43.21115774241929,High
Brazil,2024,Man-in-the-Middle,Healthcare,26.92,695427,Nation-state,Zero-day,Encryption,28.0,9,38.710029952820356,Medium
India,2019,DDoS,Banking,35.31,961173,Insider,Social Engineering,VPN,37.0,4,36.73636275675659,High
China,2018,Man-in-the-Middle,Healthcare,11.74,430760,Nation-state,Unpatched Software,Firewall,63.0,3,27.254155446188133,Low
Germany,2016,Ransomware,Telecommunications,93.93,198764,Insider,Zero-day,Encryption,40.0,1,472.57048560101424,High
Brazil,2021,Malware,Banking,34.68,786462,Unattributed,Weak Passwords,Firewall,17.0,6,44.09621825339304,High
India,2020,Malware,IT,84.43,999542,Hacker Group,Social Engineering,Encryption,15.0,5,84.46868665848959,High
Australia,2022,Malware,Government,24.6,221315,Nation-state,Unpatched Software,VPN,53.0,7,111.15378532860403,Low
Brazil,2018,SQL Injection,Education,52.7,861075,Hacker Group,Social Engineering,Encryption,7.0,3,61.202566559242804,High
Japan,2022,Phishing,Telecommunications,33.54,55209,Nation-state,Unpatched Software,VPN,11.0,7,607.5096451665489,Low
India,2018,Phishing,Education,43.54,76479,Insider,Zero-day,Firewall,4.0,3,569.3066070424561,Low
Japan,2016,SQL Injection,Telecommunications,37.17,728731,Unattributed,Weak Passwords,VPN,72.0,1,51.00647564053128,Medium
Japan,2017,SQL Injection,Education,36.37,161579,Nation-state,Zero-day,Firewall,15.0,2,225.09113189213946,Low
Germany,2019,SQL Injection,Government,56.53,362642,Unattributed,Social Engineering,Encryption,19.0,4,155.88376415307658,Medium
Brazil,2017,DDoS,Education,29.76,913276,Insider,Social Engineering,Encryption,57.0,2,32.58598714955829,High
Brazil,2019,Phishing,Government,70.6,817268,Nation-state,Zero-day,VPN,1.0,4,86.38537175075984,High
UK,2021,SQL Injection,IT,80.05,682480,Hacker Group,Zero-day,AI-based Detection,14.0,6,117.29281444144884,High
USA,2024,DDoS,Telecommunications,15.53,298385,Hacker Group,Unpatched Software,AI-based Detection,11.0,9,52.046852221123714,Low
China,2020,DDoS,Healthcare,6.32,682445,Nation-state,Social Engineering,Firewall,20.0,5,9.260819553224069,Medium
India,2021,SQL Injection,Government,18.26,78277,Hacker Group,Weak Passwords,Firewall,51.0,6,233.27414182965623,Low
India,2023,Man-in-the-Middle,IT,90.85,985267,Hacker Group,Unpatched Software,Firewall,48.0,8,92.20850794759187,High
Japan,2016,Man-in-the-Middle,Healthcare,2.59,603982,Hacker Group,Social Engineering,Firewall,18.0,1,4.288207264454901,Medium
Japan,2021,DDoS,Banking,74.26,81354,Insider,Weak Passwords,Firewall,6.0,6,912.8008456867517,Medium
France,2021,Phishing,Education,78.99,542754,Insider,Zero-day,VPN,42.0,6,145.53554649067533,High
Australia,2020,Phishing,Education,85.79,905386,Hacker Group,Zero-day,Firewall,17.0,5,94.75516520025712,High
UK,2021,Phishing,Banking,88.38,281387,Hacker Group,Social Engineering,Firewall,55.0,6,314.08700473014034,High
France,2015,Malware,Banking,30.15,205850,Insider,Unpatched Software,Firewall,72.0,0,146.46587320864708,Low
Germany,2024,Malware,Telecommunications,70.44,998028,Hacker Group,Unpatched Software,Encryption,59.0,9,70.57918214719427,High
China,2015,Malware,IT,20.63,780527,Hacker Group,Zero-day,Antivirus,68.0,0,26.430860175240575,High
USA,2020,Ransomware,Telecommunications,56.37,667436,Insider,Social Engineering,AI-based Detection,11.0,5,84.45753600345202,Medium
Japan,2022,Ransomware,Retail,71.26,440529,Insider,Weak Passwords,Encryption,20.0,7,161.76006573914543,Medium
China,2023,Man-in-the-Middle,Banking,3.47,194670,Nation-state,Social Engineering,Firewall,29.0,8,17.82503724251297,Low
USA,2023,DDoS,Banking,53.59,750875,Nation-state,Weak Passwords,Encryption,30.0,8,71.370068253704,High
China,2020,Phishing,Retail,75.95,970373,Unattributed,Social Engineering,AI-based Detection,58.0,5,78.26887186679761,High
France,2024,Phishing,Retail,44.98,827399,Nation-state,Weak Passwords,AI-based Detection,25.0,9,54.36313072652976,High
UK,2018,Man-in-the-Middle,Education,81.01,416149,Insider,Unpatched Software,Antivirus,56.0,3,194.6658528555878,High
Germany,2015,Ransomware,IT,51.11,506625,Insider,Weak Passwords,VPN,41.0,0,100.88329632371084,Medium
USA,2018,Phishing,Government,38.83,333027,Hacker Group,Zero-day,VPN,19.0,3,116.59715278340795,Low
USA,2021,SQL Injection,Telecommunications,89.93,982269,Insider,Unpatched Software,Antivirus,51.0,6,91.55333213203308,High
Brazil,2024,Malware,Government,78.97,724903,Unattributed,Weak Passwords,Encryption,53.0,9,108.93871317955644,High
Russia,2024,DDoS,Education,26.82,156823,Hacker Group,Social Engineering,VPN,1.0,9,171.02083240341022,Low
China,2017,DDoS,Education,56.73,244753,Insider,Zero-day,VPN,45.0,2,231.784697225366,Medium
Russia,2022,Malware,Retail,71.15,258554,Unattributed,Social Engineering,AI-based Detection,72.0,7,275.1842941899951,Medium
Australia,2020,Ransomware,Telecommunications,97.9,139407,Insider,Unpatched Software,Antivirus,41.0,5,702.260288220821,High
France,2023,Phishing,Education,5.8,206203,Hacker Group,Social Engineering,Encryption,7.0,8,28.127621809576,Low
UK,2016,SQL Injection,Government,69.55,55635,Unattributed,Weak Passwords,Encryption,13.0,1,1250.1123393547227,Medium
Germany,2021,Ransomware,Education,11.42,55683,Hacker Group,Unpatched Software,AI-based Detection,19.0,6,205.08952463049764,Low
India,2023,Phishing,Banking,87.62,210006,Nation-state,Social Engineering,VPN,27.0,8,417.2261744902527,High
Russia,2015,Man-in-the-Middle,Education,98.58,816455,Unattributed,Unpatched Software,AI-based Detection,40.0,0,120.74149830670399,High
UK,2020,SQL Injection,IT,87.48,53147,Nation-state,Social Engineering,Antivirus,9.0,5,1646.0007149980243,High
UK,2018,SQL Injection,Telecommunications,80.96,583514,Hacker Group,Zero-day,VPN,54.0,3,138.7455999341918,High
UK,2022,Ransomware,Government,85.43,688150,Unattributed,Weak Passwords,Firewall,58.0,7,124.14444525176197,High
Japan,2023,Phishing,Government,3.54,809443,Insider,Weak Passwords,VPN,59.0,8,4.373377742472293,High
Japan,2024,Malware,Government,34.03,78149,Nation-state,Weak Passwords,Encryption,30.0,9,435.4502296894394,Low
Australia,2018,DDoS,Banking,64.29,113775,Insider,Weak Passwords,AI-based Detection,14.0,3,565.062623599209,Medium
India,2021,Ransomware,Banking,54.97,798498,Nation-state,Zero-day,VPN,54.0,6,68.84175038635037,High
Brazil,2016,Phishing,Education,97.45,267789,Insider,Weak Passwords,Encryption,26.0,1,363.905910997091,High
UK,2023,SQL Injection,Telecommunications,30.19,833840,Insider,Unpatched Software,Antivirus,6.0,8,36.20598676004989,High
USA,2018,DDoS,Banking,6.61,646433,Insider,Social Engineering,Firewall,37.0,3,10.2253443125583,Medium
Brazil,2017,Man-in-the-Middle,Government,68.03,403770,Hacker Group,Weak Passwords,Encryption,22.0,2,168.48700993139659,Medium
Germany,2018,SQL Injection,Retail,75.63,814701,Hacker Group,Social Engineering,Antivirus,63.0,3,92.83160325076317,High
China,2019,Ransomware,IT,72.29,666683,Hacker Group,Zero-day,Encryption,34.0,4,108.43234340758652,Medium
Germany,2016,DDoS,Banking,44.17,236438,Hacker Group,Weak Passwords,Antivirus,24.0,1,186.81430226951673,Low
Russia,2020,DDoS,Education,60.94,798113,Insider,Social Engineering,Antivirus,23.0,5,76.35510259825364,High
Germany,2021,Malware,Healthcare,23.34,518982,Hacker Group,Weak Passwords,VPN,20.0,6,44.972658011260506,Medium
Germany,2015,DDoS,IT,76.99,252225,Unattributed,Unpatched Software,Antivirus,67.0,0,305.24333432451186,High
USA,2017,SQL Injection,Government,60.66,5346,Unattributed,Zero-day,Antivirus,69.0,2,11346.801346801347,Medium
China,2017,DDoS,Retail,19.36,4814,Unattributed,Social Engineering,AI-based Detection,42.0,2,4021.6036560033235,Low
Brazil,2021,SQL Injection,Banking,50.61,772512,Hacker Group,Weak Passwords,Encryption,42.0,6,65.51354542065366,High
Australia,2023,Phishing,Education,81.81,16360,Nation-state,Unpatched Software,AI-based Detection,37.0,8,5000.611246943765,High
India,2024,Phishing,Telecommunications,38.68,224143,Nation-state,Social Engineering,Antivirus,60.0,9,172.56840499145633,Low
Russia,2023,SQL Injection,IT,52.35,743325,Insider,Weak Passwords,VPN,9.0,8,70.42679850670972,Medium
France,2019,Phishing,Education,81.47,597542,Unattributed,Weak Passwords,VPN,11.0,4,136.3418805707381,High
Russia,2024,Malware,Education,55.15,913591,Hacker Group,Zero-day,AI-based Detection,51.0,9,60.36618136562203,High
Japan,2023,SQL Injection,IT,8.24,183702,Nation-state,Zero-day,VPN,57.0,8,44.85525470599122,Low
China,2024,Ransomware,Healthcare,42.26,685837,Insider,Social Engineering,VPN,68.0,9,61.61813958710306,Medium
India,2015,Phishing,Healthcare,28.6,690500,Hacker Group,Weak Passwords,Encryption,11.0,0,41.41926140477914,Medium
India,2016,SQL Injection,Banking,4.31,520308,Insider,Zero-day,VPN,39.0,1,8.283555125041321,Medium
India,2020,Phishing,Education,17.43,84643,Nation-state,Unpatched Software,Antivirus,53.0,5,205.92370308235766,Low
France,2023,Malware,Healthcare,85.28,762282,Hacker Group,Social Engineering,Firewall,11.0,8,111.87460808467208,High
France,2022,Malware,Education,70.46,427144,Unattributed,Social Engineering,Firewall,42.0,7,164.9560803850692,Medium
Russia,2018,Man-in-the-Middle,Banking,86.87,800683,Nation-state,Unpatched Software,Firewall,57.0,3,108.4948725026009,High
Japan,2024,Man-in-the-Middle,Education,46.39,662101,Insider,Social Engineering,VPN,7.0,9,70.06483905023553,Medium
Australia,2016,Malware,IT,30.72,977343,Hacker Group,Weak Passwords,VPN,47.0,1,31.432158413167127,High
India,2021,Ransomware,Education,86.73,534013,Unattributed,Unpatched Software,Firewall,49.0,6,162.4117764923326,High
China,2024,SQL Injection,Education,18.45,947933,Insider,Social Engineering,Antivirus,10.0,9,19.463400894367005,High
Australia,2017,Malware,Retail,9.25,692167,Unattributed,Weak Passwords,Encryption,70.0,2,13.363826937718787,Medium
Japan,2023,Malware,IT,23.16,320277,Unattributed,Weak Passwords,Encryption,69.0,8,72.31240457478995,Low
Japan,2017,Ransomware,Retail,49.75,163062,Unattributed,Unpatched Software,AI-based Detection,43.0,2,305.09867412395283,Medium
Australia,2017,Malware,Banking,25.76,801821,Unattributed,Weak Passwords,AI-based Detection,18.0,2,32.12687120940958,High
China,2016,Ransomware,Government,72.25,860664,Unattributed,Zero-day,Firewall,10.0,1,83.94681315821273,High
Japan,2018,Man-in-the-Middle,Education,20.85,511823,Insider,Zero-day,AI-based Detection,43.0,3,40.736739067998116,Medium
Germany,2024,Man-in-the-Middle,IT,93.13,952299,Unattributed,Weak Passwords,VPN,33.0,9,97.79491525245747,High
India,2018,Phishing,Education,5.27,982450,Unattributed,Weak Passwords,Firewall,32.0,3,5.364140668736322,High
Australia,2024,DDoS,Retail,28.16,411083,Unattributed,Weak Passwords,Firewall,30.0,9,68.50198135169784,Low
USA,2019,Man-in-the-Middle,Government,17.59,43140,Insider,Social Engineering,AI-based Detection,28.0,4,407.74223458507186,Low
UK,2018,Malware,Education,51.59,935465,Nation-state,Weak Passwords,AI-based Detection,28.0,3,55.14904352380901,High
Germany,2018,DDoS,Banking,81.34,52799,Insider,Zero-day,AI-based Detection,38.0,3,1540.5594802931873,High
China,2020,SQL Injection,Telecommunications,70.02,688312,Nation-state,Unpatched Software,VPN,48.0,5,101.72712374620812,Medium
France,2024,Phishing,Government,5.18,219162,Hacker Group,Unpatched Software,Encryption,23.0,9,23.63548425365711,Low
UK,2017,Man-in-the-Middle,Telecommunications,60.01,740448,Hacker Group,Weak Passwords,Encryption,26.0,2,81.04552919313713,Medium
France,2016,Ransomware,Banking,62.73,596776,Nation-state,Zero-day,Firewall,17.0,1,105.11481694974329,Medium
Australia,2022,SQL Injection,Telecommunications,56.2,571454,Insider,Weak Passwords,VPN,42.0,7,98.34562361974892,Medium
Russia,2020,DDoS,Government,72.59,787260,Insider,Weak Passwords,Firewall,15.0,5,92.20587861697533,High
UK,2018,Malware,Healthcare,19.79,805745,Insider,Weak Passwords,Firewall,7.0,3,24.56112045374157,High
Russia,2020,SQL Injection,Telecommunications,35.02,377194,Unattributed,Weak Passwords,Firewall,50.0,5,92.84347046877734,Low
China,2023,Malware,Education,37.07,417554,Insider,Unpatched Software,Antivirus,35.0,8,88.77893637709134,Low
China,2019,SQL Injection,Government,65.85,252025,Hacker Group,Zero-day,Encryption,60.0,4,261.2836028171808,Medium
India,2015,Ransomware,Education,96.03,898251,Hacker Group,Weak Passwords,Antivirus,70.0,0,106.90775740856398,High
Brazil,2015,Man-in-the-Middle,Banking,74.27,551388,Unattributed,Unpatched Software,Encryption,51.0,0,134.69643880534215,Medium
India,2017,DDoS,Banking,45.98,538245,Hacker Group,Weak Passwords,AI-based Detection,18.0,2,85.42578193945137,Medium
India,2021,Malware,Telecommunications,50.97,838461,Nation-state,Zero-day,AI-based Detection,6.0,6,60.789947296296425,High
Brazil,2020,SQL Injection,Banking,68.05,912770,Unattributed,Zero-day,AI-based Detection,67.0,5,74.55328286424839,High
India,2021,DDoS,Education,95.95,62194,Nation-state,Zero-day,AI-based Detection,12.0,6,1542.7533202559732,High
UK,2023,Man-in-the-Middle,Banking,15.01,416522,Insider,Social Engineering,VPN,63.0,8,36.03651187692367,Low
UK,2021,DDoS,IT,70.49,530341,Insider,Social Engineering,VPN,40.0,6,132.91448332299407,Medium
Japan,2022,Ransomware,IT,73.1,346939,Insider,Weak Passwords,VPN,21.0,7,210.6998636647941,Medium
Russia,2021,Phishing,Banking,78.45,56333,Unattributed,Social Engineering,VPN,8.0,6,1392.6117906023112,High
Germany,2018,Ransomware,IT,27.51,644913,Unattributed,Weak Passwords,VPN,32.0,3,42.656916514320535,Medium
Japan,2017,SQL Injection,Banking,18.01,295917,Unattributed,Weak Passwords,VPN,57.0,2,60.86166053319005,Low
India,2020,Malware,Healthcare,20.62,54206,Insider,Unpatched Software,VPN,51.0,5,380.40069365014944,Low
India,2018,DDoS,Telecommunications,47.5,423071,Unattributed,Unpatched Software,Antivirus,69.0,3,112.27429911291485,Low
Australia,2021,Man-in-the-Middle,Healthcare,17.62,687020,Unattributed,Weak Passwords,Antivirus,48.0,6,25.6469971762103,Medium
USA,2020,Ransomware,Education,77.09,550317,Insider,Weak Passwords,Encryption,63.0,5,140.08289767533984,High
Germany,2021,Phishing,Banking,48.0,170032,Nation-state,Social Engineering,Encryption,24.0,6,282.2998023901383,Low
China,2020,SQL Injection,Healthcare,11.55,388591,Unattributed,Zero-day,Antivirus,68.0,5,29.72276764001225,Low
India,2023,DDoS,Healthcare,2.27,438318,Hacker Group,Unpatched Software,AI-based Detection,39.0,8,5.178888386970191,Low
India,2018,DDoS,Education,1.71,63389,Insider,Unpatched Software,VPN,20.0,3,26.9762892615438,Low
USA,2015,Man-in-the-Middle,Retail,95.66,377602,Nation-state,Zero-day,Firewall,15.0,0,253.33552258727443,High
France,2021,SQL Injection,Government,42.75,467551,Unattributed,Unpatched Software,Encryption,61.0,6,91.43387566276192,Low
UK,2022,Malware,Telecommunications,38.76,361529,Nation-state,Social Engineering,Firewall,67.0,7,107.21131638125848,Low
Australia,2019,Man-in-the-Middle,Retail,15.21,677755,Hacker Group,Social Engineering,Firewall,52.0,4,22.441737796106263,Medium
UK,2022,Man-in-the-Middle,IT,66.25,303838,Nation-state,Zero-day,AI-based Detection,56.0,7,218.04382598621635,Medium
India,2016,Ransomware,Banking,93.74,339815,Insider,Weak Passwords,Firewall,58.0,1,275.85598045995613,High
Russia,2020,Ransomware,Banking,13.66,820140,Insider,Social Engineering,VPN,63.0,5,16.655692930475286,High
Russia,2015,Ransomware,IT,49.3,879875,Insider,Zero-day,Encryption,61.0,0,56.03068617701378,High
Brazil,2022,Man-in-the-Middle,Healthcare,40.94,987320,Unattributed,Zero-day,AI-based Detection,44.0,7,41.465786168618074,High
Japan,2023,SQL Injection,Government,13.51,772948,Unattributed,Zero-day,VPN,43.0,8,17.47853671915834,High
Brazil,2015,Phishing,Healthcare,84.83,794914,Insider,Social Engineering,Firewall,34.0,0,106.7159466307047,High
Brazil,2019,DDoS,Telecommunications,36.98,198563,Hacker Group,Social Engineering,Firewall,24.0,4,186.23812089865686,Low
Germany,2022,DDoS,Retail,21.45,32346,Nation-state,Unpatched Software,AI-based Detection,38.0,7,663.1422741606381,Low
China,2015,Phishing,Banking,18.39,541829,Nation-state,Zero-day,Antivirus,33.0,0,33.940597494781564,Medium
Russia,2024,Phishing,Telecommunications,21.22,446028,Hacker Group,Weak Passwords,VPN,37.0,9,47.575488534352104,Low
France,2022,Malware,Education,13.06,759625,Insider,Social Engineering,Encryption,14.0,7,17.192693763370084,High
Brazil,2017,Phishing,Retail,3.18,520654,Nation-state,Social Engineering,VPN,53.0,2,6.10770300429844,Medium
USA,2023,DDoS,IT,99.64,248383,Insider,Social Engineering,Firewall,55.0,8,401.15466839518,High
China,2017,Man-in-the-Middle,Banking,62.39,855974,Unattributed,Social Engineering,VPN,44.0,2,72.88772789827729,High
China,2020,Malware,Government,84.23,50842,Insider,Zero-day,AI-based Detection,59.0,5,1656.7011525903781,High
Germany,2015,Man-in-the-Middle,Education,81.5,697275,Nation-state,Weak Passwords,Encryption,59.0,0,116.88358251765803,High
Germany,2022,Man-in-the-Middle,Telecommunications,0.54,419912,Nation-state,Zero-day,AI-based Detection,40.0,7,1.285983729924365,Low
Japan,2023,Man-in-the-Middle,Banking,65.8,193620,Nation-state,Zero-day,VPN,67.0,8,339.8409255242227,Medium
China,2024,SQL Injection,Banking,58.32,777684,Unattributed,Zero-day,VPN,31.0,9,74.99189902325367,High
UK,2018,Malware,Healthcare,27.61,375245,Hacker Group,Social Engineering,Firewall,20.0,3,73.57859531772576,Low
China,2023,Man-in-the-Middle,IT,22.96,656090,Insider,Unpatched Software,Encryption,27.0,8,34.99519882942889,Medium
Australia,2016,Man-in-the-Middle,IT,80.27,653967,Unattributed,Unpatched Software,Encryption,21.0,1,122.74319652214866,High
India,2022,SQL Injection,Education,0.83,977791,Unattributed,Weak Passwords,Antivirus,15.0,7,0.8488521575674147,High
UK,2023,DDoS,Telecommunications,81.91,397687,Hacker Group,Social Engineering,VPN,65.0,8,205.9659983856651,High
France,2017,Malware,Banking,40.87,719537,Nation-state,Zero-day,AI-based Detection,23.0,2,56.80041471112674,Medium
Brazil,2017,DDoS,Telecommunications,34.79,724790,Hacker Group,Unpatched Software,Firewall,64.0,2,48.000110376798794,Medium
France,2016,Phishing,IT,33.33,51723,Hacker Group,Weak Passwords,Encryption,23.0,1,644.3941766718867,Low
India,2023,Ransomware,Healthcare,18.26,312340,Nation-state,Zero-day,VPN,35.0,8,58.461932509444836,Low
India,2016,Man-in-the-Middle,Banking,15.28,995025,Unattributed,Weak Passwords,AI-based Detection,52.0,1,15.35639808045024,High
France,2024,SQL Injection,Telecommunications,48.77,336356,Hacker Group,Unpatched Software,Encryption,2.0,9,144.99518367444017,Low
France,2017,Ransomware,Retail,48.93,886212,Unattributed,Weak Passwords,Encryption,67.0,2,55.21252251154351,High
Japan,2016,Ransomware,Healthcare,37.23,209358,Nation-state,Social Engineering,Firewall,25.0,1,177.82936405582782,Low
Russia,2022,DDoS,Education,69.24,495616,Nation-state,Unpatched Software,Antivirus,38.0,7,139.70493285123968,Medium
China,2021,SQL Injection,Government,55.55,224311,Insider,Zero-day,Firewall,57.0,6,247.6472397697839,Medium
Japan,2022,DDoS,IT,51.95,65516,Insider,Weak Passwords,Firewall,37.0,7,792.9360766835582,Medium
Germany,2024,Ransomware,Government,40.36,301972,Unattributed,Weak Passwords,VPN,33.0,9,133.6547759394911,Low
Germany,2015,Phishing,Telecommunications,47.04,124250,Insider,Zero-day,AI-based Detection,64.0,0,378.59154929577466,Low
USA,2018,Man-in-the-Middle,Healthcare,22.61,733934,Nation-state,Zero-day,Firewall,31.0,3,30.806584788277966,Medium
Brazil,2022,Malware,IT,19.26,377446,Unattributed,Zero-day,AI-based Detection,12.0,7,51.027166800019074,Low
China,2021,SQL Injection,IT,98.57,430792,Insider,Weak Passwords,Antivirus,9.0,6,228.81111998365802,High
UK,2015,Malware,IT,96.79,825881,Unattributed,Zero-day,AI-based Detection,35.0,0,117.19606093371806,High
USA,2020,Malware,Telecommunications,27.16,858207,Nation-state,Unpatched Software,AI-based Detection,42.0,5,31.647376448805474,High
Germany,2021,Ransomware,Healthcare,16.64,912847,Unattributed,Weak Passwords,Antivirus,27.0,6,18.228684544069267,High
UK,2018,Malware,Banking,41.34,82287,Unattributed,Unpatched Software,Encryption,61.0,3,502.3879835210908,Low
